"entity_ID","geo_entity","longitude","latitude","area","dist","age_Ma","geology","spec_num","end_num","max_elev","mean_temp","mean_prec","mean_homogeneity"
2,"Cartier Island",123.554088,-12.531172,0.0499,290.436,NA,"shelf",1,0,NA,27.9,1383,NA
131,"Corvo",-31.105223,39.699105,17.1153,1853.135,0.73,"volcanic",98,0,627,16.87,1621,0.2088
132,"Flores",-31.20249,39.44195,140.9824,1865.365,2.16,"volcanic",120,0,852,15.72,1758,0.2901
133,"Faial",-28.701332,38.578217,173.0909,1658.813,0.73,"volcanic",124,0,1038,16,1110,0.3281
134,"Pico",-28.333573,38.469473,444.9742,1611.87,0.25,"volcanic",133,0,2260,15.2,1124,0.3164
135,"Graciosa",-28.011327,39.052294,60.6915,1597.823,2.5,"volcanic",73,0,371,17.17,1206,0.2469
136,"São Jorge",-28.029236,38.637234,243.7807,1586.21,0.55,"volcanic",122,0,1053,15.36,1240,0.2981
137,"Terceira",-27.2123,38.723901,400.562,1522.601,3.52,"volcanic",130,0,930,15.98,1233,0.314
138,"São Miguel",-25.481891,37.7954,744.7215,1370.035,4.01,"volcanic",136,1,1094,16.03,1142,0.3192
139,"Santa Maria",-25.099823,36.971334,96.8918,1378.31,8.12,"volcanic",103,1,575,17.44,890.6,0.2563
145,"El Hierro",-18.006624,27.746526,273.5236,383.073,1.1,"volcanic",314,15,1412,17.68,196.2,0.2932
146,"La Palma",-17.858329,28.68988,716.4593,416.923,1.7,"volcanic",382,37,2357,15.72,395.9,0.3283
147,"La Gomera",-17.232609,28.117411,372.2062,335.136,12,"volcanic",396,40,1376,17.77,302.7,0.3401
148,"Tenerife",-16.55631,28.291062,2040.1353,288.476,8,"volcanic",584,106,3450,15.63,389,0.3872
149,"Gran Canaria",-15.593194,27.954821,1571.3543,196.361,14.5,"volcanic",498,87,1867,17.66,198.1,0.3778
150,"Fuerteventura",-14.036486,28.406106,1669.8848,96.535,20,"volcanic",337,10,651,19.45,120.5,0.6293
151,"Lanzarote",-13.641825,29.024478,818.5713,126.425,16,"volcanic",312,12,623,19.25,138.1,0.5755
154,"Darwin",-91.999868,1.649977,1.4367,1149.841,0.7,"volcanic",15,0,0,24.05,1730,NA
155,"Española",-89.678704,-1.378399,64.1142,961.519,3.31,"volcanic",104,0,172,23.08,864.3,0.2989
156,"Fernandina",-91.512937,-0.385734,649.1059,1167.044,0.7,"volcanic",145,1,1462,21.59,803.8,0.6643
157,"Floreana",-90.435291,-1.293603,178.029,1044.002,1,"volcanic",211,6,393,22.48,889.5,0.3384
158,"Genovesa",-89.956761,0.325229,15.3832,1015.832,0.3,"volcanic",49,0,67,23.76,1003,0.285
159,"Isabela",-91.184344,-0.559293,4726.5735,1098.298,0.7,"volcanic",279,7,1685,21.65,798.9,0.5144
160,"Marchena",-90.475747,0.332085,131.9264,1067.098,0.3,"volcanic",49,0,269,23.3,997.7,0.5318
161,"Pinta",-90.757025,0.586845,60.3308,1105.929,0.7,"volcanic",140,0,548,23.2,1056,0.4016
162,"Pinzón",-90.665791,-0.610811,18.0692,1084.075,1.1,"volcanic",107,1,379,22.72,841.7,0.2639
163,"San Cristóbal",-89.43056,-0.826798,559.9777,927.687,2.35,"volcanic",237,6,625,22.71,905.3,0.363
164,"Santa Cruz, Galapagos",-90.358406,-0.627248,987.0942,1031.632,1.1,"volcanic",314,17,807,22.51,821.1,0.3868
165,"Santa Fé",-90.058774,-0.818429,25.1516,1014.28,3.9,"volcanic",72,0,212,23.05,865.5,0.4169
166,"Santiago, Galapagos",-90.712546,-0.266245,577.0998,1075.448,0.7,"volcanic",233,2,902,22.51,845.8,0.4664
167,"Wolf",-91.8191,1.382373,2.2026,1161.127,0.72,"volcanic",26,0,24,24.28,1312,0.1308
170,"Gardner Pinnacles",-168.95998,25.000016,0.0273,3341.02,12.3,"volcanic",1,0,NA,NA,NA,NA
171,"Hawai'i Island",-155.518375,19.598084,10457.2162,3674.689,0.53,"volcanic",391,83,4176,17.54,1797,0.4444
172,"Kaua'i Island",-159.524241,22.058363,1442.9515,3629.559,5.77,"volcanic",494,196,1530,22.03,2184,0.288
173,"Kaho'olawe Island",-156.609341,20.547612,116.6585,3736.853,1.25,"volcanic",62,2,429,23.78,548,0.3193
174,"Ka'ula Island",-160.541487,21.654144,0.7478,3744.841,4.1,"volcanic",17,0,NA,24.6,1424,NA
175,"Kure Atoll (incl. Sand and Green Islands)",-178.293975,28.392821,0.8522,3170.37,25,"atoll",21,0,7,22.3,1086,NA
176,"Lana'i Island",-156.927066,20.834995,366.6042,3740.263,1.5,"volcanic",257,9,999,22.9,696.4,0.3232
177,"Laysan Island",-171.734888,25.768689,2.9209,3295.189,19.9,"atoll",31,2,6,23.4,1067,0.0834
178,"Lehua Island",-160.095765,22.0201,1.2822,3647.799,5.5,"volcanic",25,0,4,24.35,1164,0.2305
179,"Lisianski Island",-173.965922,26.063953,1.5935,3306.617,23,"volcanic",15,0,9,23.38,1122,0.08675
180,"Maui Island",-156.336777,20.790415,1894.1059,3678.732,2.15,"volcanic",497,85,2993,20.63,1487,0.3292
183,"Moloka'i Island",-157.014518,21.133173,680.4216,3709.532,1.99,"volcanic",375,34,1377,22.76,834.6,0.3044
184,"Nihoa Island",-161.922525,23.060456,0.6523,3540.516,7,"volcanic",20,2,2,24.1,1394,NA
185,"Necker Island",-164.700265,23.575664,0.3702,3467.951,10,"volcanic",5,0,NA,24,1043,NA
186,"Ni'ihau Island",-160.151831,21.896643,197.3125,3650.298,5.92,"volcanic",94,2,340,24.07,1243,0.2908
187,"O'ahu Island (incl. Mokoli'i Islet)",-157.973393,21.458674,1560.1845,3699.816,3.39,"volcanic",460,130,1168,23.26,1126,0.2631
202,"La Réunion",55.532685,-21.133348,2512.6523,1664.739,3,"volcanic",924,308,2930,19.32,2647,0.3355
203,"Eiao",-140.687406,-7.996287,41.0649,4762.04,6,"volcanic",45,0,485,25.79,1461,0.2392
